population_size,mutation_probability,tournament_k,max_generations,selection_type,avg_best_distance,std_best_distance,min_best_distance,max_best_distance,avg_execution_time,successful_runs,total_runs
200,0.1,3,200,roulette,422.1624306632597,4.2346363038481565,419.16809061694994,428.15111075587924,3.5340784390767417,3,3
200,0.1,5,100,tournament,420.40713122111,1.7522680267341337,419.16809061694994,422.88521242943017,0.8449904123942057,3,3
200,0.1,5,100,top10,419.16809061694994,0.0,419.16809061694994,419.16809061694994,0.7308996518452963,3,3
200,0.1,5,100,roulette,425.15677070956946,4.2346363038481565,419.16809061694994,428.15111075587924,1.7698275248209636,3,3
200,0.1,5,200,tournament,419.16809061695,8.038873388460929e-14,419.16809061694994,419.1680906169501,1.6604671478271484,3,3
200,0.1,5,200,top10,419.16809061694994,0.0,419.16809061694994,419.16809061694994,1.4388515154520671,3,3
200,0.1,5,200,roulette,422.1624306632597,4.2346363038481565,419.16809061694994,428.15111075587924,3.521986643473307,3,3
200,0.2,2,100,tournament,422.1624306632597,4.2346363038481565,419.16809061694994,428.15111075587924,0.808791716893514,3,3
200,0.2,2,100,top10,419.16809061694994,0.0,419.16809061694994,419.16809061694994,0.7334810098012289,3,3
200,0.2,2,100,roulette,425.15677070956946,4.2346363038481565,419.16809061694994,428.15111075587924,1.776676893234253,3,3
200,0.2,2,200,tournament,419.16809061695,8.038873388460929e-14,419.16809061694994,419.1680906169501,1.5857125918070476,3,3
200,0.2,2,200,top10,419.16809061694994,0.0,419.16809061694994,419.16809061694994,1.466267744700114,3,3
200,0.2,2,200,roulette,422.1624306632597,4.2346363038481565,419.16809061694994,428.15111075587924,3.30126682917277,3,3
200,0.2,3,100,tournament,419.16809061694994,0.0,419.16809061694994,419.16809061694994,0.7811465263366699,3,3
200,0.2,3,100,top10,419.16809061694994,0.0,419.16809061694994,419.16809061694994,0.6975025335947672,3,3
200,0.2,3,100,roulette,425.15677070956946,4.2346363038481565,419.16809061694994,428.15111075587924,1.669092098871867,3,3
200,0.2,3,200,tournament,419.1680906169501,0.0,419.1680906169501,419.1680906169501,1.5350624720255535,3,3
200,0.2,3,200,top10,419.16809061694994,0.0,419.16809061694994,419.16809061694994,1.3926965395609539,3,3
200,0.2,3,200,roulette,428.15111075587924,0.0,428.15111075587924,428.15111075587924,3.3882654507954917,3,3
200,0.2,5,100,tournament,419.16809061694994,0.0,419.16809061694994,419.16809061694994,0.8274180094401041,3,3
200,0.2,5,100,top10,419.16809061694994,0.0,419.16809061694994,419.16809061694994,0.7017675240834554,3,3
200,0.2,5,100,roulette,425.15677070956946,4.2346363038481565,419.16809061694994,428.15111075587924,1.6930420398712158,3,3
200,0.2,5,200,tournament,419.1680906169501,9.845568954283847e-14,419.16809061694994,419.1680906169501,1.617473840713501,3,3
200,0.2,5,200,top10,419.16809061694994,0.0,419.16809061694994,419.16809061694994,1.4255376656850178,3,3
200,0.2,5,200,roulette,426.82304584078497,1.8781674146381946,424.1669160105964,428.15111075587924,3.487506707509359,3,3
200,0.5,2,100,tournament,428.15111075587924,0.0,428.15111075587924,428.15111075587924,0.8290054003397623,3,3
200,0.5,2,100,top10,419.16809061694994,0.0,419.16809061694994,419.16809061694994,0.741516908009847,3,3
200,0.5,2,100,roulette,428.15111075587924,0.0,428.15111075587924,428.15111075587924,1.7792550722757976,3,3
200,0.5,2,200,tournament,422.1624306632597,4.2346363038481565,419.16809061694994,428.15111075587924,1.705438772837321,3,3
200,0.5,2,200,top10,419.16809061694994,0.0,419.16809061694994,419.16809061694994,1.5170799891153972,3,3
200,0.5,2,200,roulette,425.15677070956946,4.2346363038481565,419.16809061694994,428.15111075587924,3.571638902028402,3,3
200,0.5,3,100,tournament,419.1680906169501,9.845568954283847e-14,419.16809061694994,419.1680906169501,0.8485469818115234,3,3
200,0.5,3,100,top10,419.16809061694994,0.0,419.16809061694994,419.16809061694994,0.7634186744689941,3,3
200,0.5,3,100,roulette,428.15111075587924,0.0,428.15111075587924,428.15111075587924,1.8164974848429363,3,3
200,0.5,3,200,tournament,419.1680906169501,9.845568954283847e-14,419.16809061694994,419.1680906169501,1.7011067072550456,3,3
200,0.5,3,200,top10,419.16809061694994,0.0,419.16809061694994,419.16809061694994,1.518528938293457,3,3
200,0.5,3,200,roulette,425.15677070956946,4.2346363038481565,419.16809061694994,428.15111075587924,3.5371054808298745,3,3
200,0.5,5,100,tournament,419.16809061694994,0.0,419.16809061694994,419.16809061694994,0.8697990576426188,3,3
200,0.5,5,100,top10,419.16809061694994,0.0,419.16809061694994,419.16809061694994,0.7393482526143392,3,3
200,0.5,5,100,roulette,428.15111075587924,0.0,428.15111075587924,428.15111075587924,1.7544415791829426,3,3
200,0.5,5,200,tournament,419.1680906169501,9.845568954283847e-14,419.16809061694994,419.1680906169501,1.707255204518636,3,3
200,0.5,5,200,top10,419.16809061694994,0.0,419.16809061694994,419.16809061694994,1.475293795267741,3,3
200,0.5,5,200,roulette,428.15111075587924,0.0,428.15111075587924,428.15111075587924,3.4553610483805337,3,3
500,0.1,2,100,tournament,419.1680906169501,0.0,419.1680906169501,419.1680906169501,3.038766066233317,3,3
500,0.1,2,100,top10,419.16809061694994,0.0,419.16809061694994,419.16809061694994,2.830881436665853,3,3
500,0.1,2,100,roulette,425.15677070956946,4.2346363038481565,419.16809061694994,428.15111075587924,8.38819162050883,3,3
500,0.1,2,200,tournament,422.16243066325984,4.234636303848076,419.1680906169501,428.15111075587924,5.996191422144572,3,3
500,0.1,2,200,top10,419.16809061694994,0.0,419.16809061694994,419.16809061694994,5.7033638159434,3,3
500,0.1,2,200,roulette,425.15677070956946,4.2346363038481565,419.16809061694994,428.15111075587924,16.989275376001995,3,3
500,0.1,3,100,tournament,420.4071312211101,1.7522680267340935,419.16809061694994,422.88521242943017,3.184870878855387,3,3
500,0.1,3,100,top10,419.16809061694994,0.0,419.16809061694994,419.16809061694994,2.8583953380584717,3,3
500,0.1,3,100,roulette,425.15677070956946,4.2346363038481565,419.16809061694994,428.15111075587924,8.47657577196757,3,3
500,0.1,3,200,tournament,419.1680906169501,9.845568954283847e-14,419.16809061694994,419.1680906169501,6.1264011065165205,3,3
500,0.1,3,200,top10,419.16809061694994,0.0,419.16809061694994,419.16809061694994,5.683216333389282,3,3
500,0.1,3,200,roulette,424.7026346414212,3.9528405143637055,419.16809061694994,428.15111075587924,16.850245237350464,3,3
500,0.1,5,100,tournament,419.16809061695,8.038873388460929e-14,419.16809061694994,419.1680906169501,3.1929167906443277,3,3
500,0.1,5,100,top10,419.16809061694994,0.0,419.16809061694994,419.16809061694994,2.915576934814453,3,3
500,0.1,5,100,roulette,428.15111075587924,0.0,428.15111075587924,428.15111075587924,8.513801018397013,3,3
500,0.1,5,200,tournament,419.1680906169501,9.845568954283847e-14,419.16809061694994,419.1680906169501,6.357458035151164,3,3
500,0.1,5,200,top10,419.16809061694994,0.0,419.16809061694994,419.16809061694994,5.795611222585042,3,3
500,0.1,5,200,roulette,422.1624306632598,4.234636303848116,419.16809061694994,428.15111075587924,16.980896711349487,3,3
500,0.2,2,100,tournament,425.15677070956957,4.234636303848076,419.1680906169501,428.15111075587924,3.1325876712799072,3,3
500,0.2,2,100,top10,419.16809061694994,0.0,419.16809061694994,419.16809061694994,2.8798425992329917,3,3
500,0.2,2,100,roulette,428.15111075587924,0.0,428.15111075587924,428.15111075587924,8.464242219924927,3,3
500,0.2,2,200,tournament,419.1680906169501,9.845568954283847e-14,419.16809061694994,419.1680906169501,6.11270268758138,3,3
500,0.2,2,200,top10,419.16809061694994,0.0,419.16809061694994,419.16809061694994,5.648011684417725,3,3
500,0.2,2,200,roulette,427.696974687731,0.6422453867380529,426.7887025514345,428.15111075587924,17.06177870432536,3,3
500,0.2,3,100,tournament,419.1680906169501,0.0,419.1680906169501,419.1680906169501,3.2158122857411704,3,3
500,0.2,3,100,top10,419.16809061694994,0.0,419.16809061694994,419.16809061694994,2.9709768295288086,3,3
500,0.2,3,100,roulette,428.15111075587924,0.0,428.15111075587924,428.15111075587924,8.527103741963705,3,3
500,0.2,3,200,tournament,420.40713122111015,1.7522680267340534,419.1680906169501,422.88521242943017,6.367566108703613,3,3
500,0.2,3,200,top10,419.16809061694994,0.0,419.16809061694994,419.16809061694994,5.8994481563568115,3,3
500,0.2,3,200,roulette,425.15677070956946,4.2346363038481565,419.16809061694994,428.15111075587924,17.585405111312866,3,3
500,0.2,5,100,tournament,419.1680906169501,9.845568954283847e-14,419.16809061694994,419.1680906169501,3.231830676396688,3,3
500,0.2,5,100,top10,419.16809061694994,0.0,419.16809061694994,419.16809061694994,2.9710994561513266,3,3
500,0.2,5,100,roulette,425.15677070956946,4.2346363038481565,419.16809061694994,428.15111075587924,8.5374596118927,3,3
500,0.2,5,200,tournament,419.16809061695,8.038873388460929e-14,419.16809061694994,419.1680906169501,6.397593259811401,3,3
500,0.2,5,200,top10,419.16809061694994,0.0,419.16809061694994,419.16809061694994,5.773866732915242,3,3
500,0.2,5,200,roulette,425.15677070956946,4.2346363038481565,419.16809061694994,428.15111075587924,16.970116138458252,3,3
500,0.5,2,100,tournament,424.7026346414212,3.9528405143637055,419.16809061694994,428.15111075587924,3.1401633421579995,3,3
500,0.5,2,100,top10,419.16809061694994,0.0,419.16809061694994,419.16809061694994,3.1487301190694175,3,3
500,0.5,2,100,roulette,426.39581131372955,2.4823682771140225,422.88521242943017,428.15111075587924,8.79230268796285,3,3
500,0.5,2,200,tournament,428.15111075587924,0.0,428.15111075587924,428.15111075587924,6.439745823542277,3,3
500,0.5,2,200,top10,419.16809061694994,0.0,419.16809061694994,419.16809061694994,5.900362094243367,3,3
500,0.5,2,200,roulette,420.83436574816545,2.3564688892099612,419.16809061694994,424.1669160105964,16.40837041536967,3,3
500,0.5,3,100,tournament,419.1680906169501,0.0,419.1680906169501,419.1680906169501,3.1230715910593667,3,3
500,0.5,3,100,top10,419.16809061694994,0.0,419.16809061694994,419.16809061694994,2.9201765060424805,3,3
500,0.5,3,100,roulette,428.15111075587924,0.0,428.15111075587924,428.15111075587924,8.4791841506958,3,3
500,0.5,3,200,tournament,419.1680906169501,0.0,419.1680906169501,419.1680906169501,6.2761757373809814,3,3
500,0.5,3,200,top10,419.16809061694994,0.0,419.16809061694994,419.16809061694994,5.743234237035115,3,3
500,0.5,3,200,roulette,425.15677070956946,4.2346363038481565,419.16809061694994,428.15111075587924,16.70244638125102,3,3
500,0.5,5,100,tournament,419.16809061695,8.038873388460929e-14,419.16809061694994,419.1680906169501,3.2271374066670737,3,3
500,0.5,5,100,top10,419.16809061694994,0.0,419.16809061694994,419.16809061694994,2.868393341700236,3,3
500,0.5,5,100,roulette,425.15677070956946,4.2346363038481565,419.16809061694994,428.15111075587924,8.26217214266459,3,3
500,0.5,5,200,tournament,419.16809061694994,0.0,419.16809061694994,419.16809061694994,6.2669878005981445,3,3
500,0.5,5,200,top10,419.16809061694994,0.0,419.16809061694994,419.16809061694994,5.572523276011149,3,3
500,0.5,5,200,roulette,427.14126188570464,1.4281419681480236,425.12156414535553,428.15111075587924,16.374401569366455,3,3
